"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","File does not exists","COMPROMISED","2023-11-23T20:46:05.4595277+05:30[Asia/Calcutta]","0.0","4.69"
"First serenity test","This is a failing test","FAILURE","2023-11-23T20:46:10.1646301+05:30[Asia/Calcutta]","0.0","10.81"
"First serenity test","This is a test with error","ERROR","2023-11-23T20:46:23.3944035+05:30[Asia/Calcutta]","0.0","0.04"
