"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","File does not exists","COMPROMISED","2023-11-23T20:46:05.4595277+05:30[Asia/Calcutta]","0.0","4.69"
"First serenity test","This is a failing test","FAILURE","2023-11-23T20:46:10.1646301+05:30[Asia/Calcutta]","0.0","10.81"
"First serenity test","This is a skipped test","IGNORED","2023-11-23T20:46:21.1639934+05:30[Asia/Calcutta]","0.0","0.01"
"First serenity test","This test will bring information of all students from the students app","SUCCESS","2023-11-23T20:46:21.2049924+05:30[Asia/Calcutta]","0.0","2.16"
"First serenity test","This is a pending test","PENDING","2023-11-23T20:46:23.3664008+05:30[Asia/Calcutta]","0.0","0.0"
"First serenity test","This is a manual test","PENDING","2023-11-23T20:46:23.374401+05:30[Asia/Calcutta]","0.0","0.0"
"First serenity test","This is a test with error","ERROR","2023-11-23T20:46:23.3944035+05:30[Asia/Calcutta]","0.0","0.04"
"First serenity test","Get all students","SUCCESS","2023-11-23T20:46:23.4494492+05:30[Asia/Calcutta]","0.0","1.76"
